bore;ochal;uchal;val;mot;comment;reason
1;2;5;5;4;Love this subject, very engaging;Content difficulty mismatch
2;5;5;4;1;Too much homework assigned;Complex theoretical concepts
4;1;3;1;1;Too much homework assigned;Attention span challenges
1;5;1;4;5;Feeling overwhelmed with workload;Teaching pace issues
4;4;1;3;3;Challenging but manageable;Attention span challenges
2;4;3;4;3;Professor speaks too fast, can't follow;Personal interest in topic
2;4;3;2;5;Wish we had more practical work;Motivating learning environment
1;4;3;2;4;Content is very interesting;Attention span challenges
2;4;4;3;3;Love this subject, very engaging;Positive peer interactions
5;3;1;1;1;Teacher explains concepts well;Insufficient practice time
2;2;4;2;1;Material is irrelevant to my future;Previous knowledge gaps
4;4;3;5;2;Content is very interesting;Clear learning objectives
4;1;1;2;3;Completely lost in this class;Teaching pace issues
4;1;4;2;4;Feeling overwhelmed with workload;Meaningful learning goals
4;1;4;1;5;Too much homework assigned;Attention span challenges
5;1;3;4;5;Need more time for questions;Content difficulty mismatch
3;3;1;2;4;Class pace is perfect for me;Positive peer interactions
1;1;3;3;2;Material is irrelevant to my future;Time management problems
4;4;1;4;5;Professor speaks too fast, can't follow;Well-structured curriculum
2;5;5;5;3;Boring repetitive content;Content difficulty mismatch
4;1;2;1;2;Completely lost in this class;Personal interest in topic
2;3;2;5;3;Material is irrelevant to my future;Clear learning objectives
2;3;2;4;1;Boring repetitive content;Motivating learning environment
4;1;3;4;2;Love this subject, very engaging;Good instructor engagement
5;5;5;4;5;Teacher explains concepts well;Poor teaching methods
2;1;1;5;2;Challenging but manageable;Good instructor engagement
2;3;4;4;2;Wish we had more practical work;Assessment pressure
4;2;1;5;2;Too much homework assigned;Lack of real-world relevance
2;4;4;4;2;Assignments are too difficult;Lack of real-world relevance
2;3;1;3;3;Too much homework assigned;Well-structured curriculum
4;1;5;4;1;Too much homework assigned;Lack of real-world relevance
4;4;4;5;4;Class pace is perfect for me;Meaningful learning goals
1;1;3;2;2;Challenging but manageable;Previous knowledge gaps
5;1;1;4;5;Material is irrelevant to my future;Previous knowledge gaps
5;2;1;2;2;Feeling overwhelmed with workload;Well-structured curriculum
2;4;4;3;5;Assignments are too difficult;Meaningful learning goals
5;4;3;1;3;Content is very interesting;Teaching pace issues
2;2;3;3;5;Boring repetitive content;Complex theoretical concepts
1;3;5;4;4;Assignments are too difficult;Attention span challenges
4;1;3;2;1;Wish we had more practical work;Positive peer interactions
4;5;3;2;5;Teacher explains concepts well;Inspiring course content
4;1;3;5;5;Challenging but manageable;Insufficient practice time
5;1;2;2;1;Content is very interesting;Meaningful learning goals
1;3;5;5;4;Boring repetitive content;Insufficient practice time
5;1;1;1;2;Great interactive discussions;Motivating learning environment
5;2;4;4;5;Professor speaks too fast, can't follow;Inadequate support materials
1;2;1;5;1;Boring repetitive content;Clear learning objectives
1;4;5;1;3;Professor speaks too fast, can't follow;Cognitive overload
1;5;4;2;1;Great interactive discussions;Attention span challenges
1;1;5;2;3;Teacher explains concepts well;Cognitive overload
4;1;3;1;4;Challenging but manageable;Personal interest in topic
3;3;4;2;2;Material is irrelevant to my future;Good instructor engagement
3;2;3;1;1;Class pace is perfect for me;Good instructor engagement
1;5;1;5;5;Need more time for questions;Lack of real-world relevance
3;4;1;5;4;Great interactive discussions;Time management problems
3;2;4;1;1;Class pace is perfect for me;Content difficulty mismatch
1;4;4;5;5;Class time goes by quickly;Assessment pressure
3;3;5;5;1;Teacher explains concepts well;Meaningful learning goals
5;3;5;5;3;Wish we had more practical work;Good instructor engagement
2;1;3;3;1;Need more examples to understand;Assessment pressure
2;5;4;4;1;Challenging but manageable;Good instructor engagement
1;4;1;2;1;Need more examples to understand;Content difficulty mismatch
